scenario,filter_packet_id,scope_status,scope_overlap_proven,overlapping_constraints,decision,applied_scope
S01_valid_hard_scar_match,packet_S01_valid_hard_scar_match,matching,False,,MATCHING_OR_DIRECT,scope_A
S02_valid_soft_scar_match,packet_S02_valid_soft_scar_match,matching,False,,MATCHING_OR_DIRECT,scope_A
S03_valid_restoration_scar_match,packet_S03_valid_restoration_scar_match,matching,False,,MATCHING_OR_DIRECT,scope_A
S04_no_scar_match,packet_S04_no_scar_match,matching,False,,MATCHING_OR_DIRECT,scope_A
S05_active_authority_contamination,packet_S05_active_authority_contamination,matching,False,,REJECTED_BY_PRECEDENCE,
S06_bypass_permission_contamination,packet_S06_bypass_permission_contamination,matching,False,,REJECTED_BY_PRECEDENCE,
S07_route_confidence_as_authority,packet_S07_route_confidence_as_authority,matching,False,,REJECTED_BY_PRECEDENCE,
S08_parent_shape_integrity_as_authority,packet_S08_parent_shape_integrity_as_authority,matching,False,,REJECTED_BY_PRECEDENCE,
S09_full_history_as_admission,packet_S09_full_history_as_admission,matching,False,,REJECTED_BY_PRECEDENCE,
S10_stale_evidence,packet_S10_stale_evidence,matching,False,,REJECTED_BY_PRECEDENCE,
S11_invalid_provenance,packet_S11_invalid_provenance,matching,False,,REJECTED_BY_PRECEDENCE,
S12_epoch_mismatch,packet_S12_epoch_mismatch,matching,False,,REJECTED_BY_PRECEDENCE,
S13_unknown_scope,packet_S13_unknown_scope,unknown,False,,REJECTED_BY_PRECEDENCE,
S14_narrower_proven_overlap,packet_S14_narrower_proven_overlap,overlap,True,constraint_region_A_only,OVERLAP_ONLY,constraint_region_A_only
S15_no_lineage_packet,packet_S15_no_lineage_packet,matching,False,,MATCHING_OR_DIRECT,scope_A
S16_invalid_lineage_dependency,packet_S16_invalid_lineage_dependency,matching,False,,REJECTED_BY_PRECEDENCE,
S17_valid_hard_lineage_constraint,packet_S17_valid_hard_lineage_constraint,matching,False,,MATCHING_OR_DIRECT,scope_A
S18_valid_soft_lineage_constraint,packet_S18_valid_soft_lineage_constraint,matching,False,,MATCHING_OR_DIRECT,scope_A
S19_contamination_precedence,packet_S19_contamination_precedence,matching,False,,REJECTED_BY_PRECEDENCE,
S20_isolation_checks,packet_S20_isolation_checks,matching,False,,MATCHING_OR_DIRECT,scope_A
S21_repeated_contaminated_source,packet_S21_repeated_contaminated_source_0,matching,False,,REJECTED_BY_PRECEDENCE,
S21_repeated_contaminated_source,packet_S21_repeated_contaminated_source_1,matching,False,,REJECTED_BY_PRECEDENCE,
S21_repeated_contaminated_source,packet_S21_repeated_contaminated_source_2,matching,False,,REJECTED_BY_PRECEDENCE,
