assertion_id,passed,detail
A1,True,PASS: D0_CLEAN_CONTROL/seed=42: manifests saved before arm execution | PASS: D0_CLEAN_CONTROL/seed=99: manifests saved before arm execution | PASS: D0_CLEAN_CONTROL/seed=500: manifests saved before arm execution | PASS: D0_CLEAN_CONTROL/seed=777: manifests saved before arm execution
A2,True,PASS: D0_CLEAN_CONTROL/seed=42: task keys identical across arms | PASS: D0_CLEAN_CONTROL/seed=99: task keys identical across arms | PASS: D0_CLEAN_CONTROL/seed=500: task keys identical across arms | PASS: D0_CLEAN_CONTROL/seed=777: task keys identical across arms
A3,True,PASS: D0_CLEAN_CONTROL/seed=42: structural input contains no arm or route-outcome fields | PASS: D0_CLEAN_CONTROL/seed=99: structural input contains no arm or route-outcome fields | PASS: D0_CLEAN_CONTROL/seed=500: structural input contains no arm or route-outcome fields | PASS: D0_CLEAN_CONTROL/seed=777: structural input contains no arm or route-outcome fields
A4,True,PASS: D0_CLEAN_CONTROL/seed=42: onset and clear schedule identical across arms | PASS: D0_CLEAN_CONTROL/seed=99: onset and clear schedule identical across arms | PASS: D0_CLEAN_CONTROL/seed=500: onset and clear schedule identical across arms | PASS: D0_CLEAN_CONTROL/seed=777: onset and clear schedule identical across arms
A5,True,PASS: D0_CLEAN_CONTROL/seed=42: observer accepts structural_df only | PASS: D0_CLEAN_CONTROL/seed=99: observer accepts structural_df only | PASS: D0_CLEAN_CONTROL/seed=500: observer accepts structural_df only | PASS: D0_CLEAN_CONTROL/seed=777: observer accepts structural_df only
A6,True,PASS: D0_CLEAN_CONTROL/seed=42: evaluator labels absent from observer input | PASS: D0_CLEAN_CONTROL/seed=99: evaluator labels absent from observer input | PASS: D0_CLEAN_CONTROL/seed=500: evaluator labels absent from observer input | PASS: D0_CLEAN_CONTROL/seed=777: evaluator labels absent from observer input
A7,True,PASS: D0_CLEAN_CONTROL/seed=42: saved structural manifest replays to byte-identical shape records | PASS: D0_CLEAN_CONTROL/seed=99: saved structural manifest replays to byte-identical shape records | PASS: D0_CLEAN_CONTROL/seed=500: saved structural manifest replays to byte-identical shape records | PASS: D0_CLEAN_CONTROL/seed=777: saved structural manifest replays to byte-identical shape records
A8,True,PASS: D0_CLEAN_CONTROL/seed=42: no future-dated record used | PASS: D0_CLEAN_CONTROL/seed=99: no future-dated record used | PASS: D0_CLEAN_CONTROL/seed=500: no future-dated record used | PASS: D0_CLEAN_CONTROL/seed=777: no future-dated record used
A9,True,PASS: D0_CLEAN_CONTROL/seed=42: probe latency cannot source task latency | PASS: D0_CLEAN_CONTROL/seed=99: probe latency cannot source task latency | PASS: D0_CLEAN_CONTROL/seed=500: probe latency cannot source task latency | PASS: D0_CLEAN_CONTROL/seed=777: probe latency cannot source task latency
A10,True,PASS: D0_CLEAN_CONTROL/seed=42: integrity_score absent from gate | PASS: D0_CLEAN_CONTROL/seed=99: integrity_score absent from gate | PASS: D0_CLEAN_CONTROL/seed=500: integrity_score absent from gate | PASS: D0_CLEAN_CONTROL/seed=777: integrity_score absent from gate
A11,True,PASS: D0_CLEAN_CONTROL/seed=42: every shape-authorized task has valid verification/epoch/scope | PASS: D0_CLEAN_CONTROL/seed=99: every shape-authorized task has valid verification/epoch/scope | PASS: D0_CLEAN_CONTROL/seed=500: every shape-authorized task has valid verification/epoch/scope | PASS: D0_CLEAN_CONTROL/seed=777: every shape-authorized task has valid verification/epoch/scope
A12,True,PASS: D0_CLEAN_CONTROL/seed=42: active declared scope is GLOBAL except the explicit E6 fault interval | PASS: D0_CLEAN_CONTROL/seed=99: active declared scope is GLOBAL except the explicit E6 fault interval | PASS: D0_CLEAN_CONTROL/seed=500: active declared scope is GLOBAL except the explicit E6 fault interval | PASS: D0_CLEAN_CONTROL/seed=777: active declared scope is GLOBAL except the explicit E6 fault interval
A13,True,PASS: D0_CLEAN_CONTROL/seed=42: evidence invalidity remains UNKNOWN without structural-failure claims | PASS: D0_CLEAN_CONTROL/seed=99: evidence invalidity remains UNKNOWN without structural-failure claims | PASS: D0_CLEAN_CONTROL/seed=500: evidence invalidity remains UNKNOWN without structural-failure claims | PASS: D0_CLEAN_CONTROL/seed=777: evidence invalidity remains UNKNOWN without structural-failure claims
