scenario,candidate_id,filter_decision,candidate_state,scar_result,lineage_result,precedence_reason,active_authority_granted,bypass_permission_granted
S01_valid_hard_scar_match,candidate_hard_scar,REJECT_AS_IS,FILTER_REJECTED,REJECT_AS_IS,NO_LINEAGE_PACKET,hard_scar_match,False,False
S02_valid_soft_scar_match,candidate_soft_scar,REQUIRE_EXTRA_PROOF,FILTER_EXTRA_PROOF_REQUIRED,REQUIRE_EXTRA_PROOF,NO_LINEAGE_PACKET,soft_scar_match,False,False
S03_valid_restoration_scar_match,candidate_restoration_scar,REQUIRE_EXTRA_PROOF,FILTER_EXTRA_PROOF_REQUIRED,REQUIRE_EXTRA_PROOF,NO_LINEAGE_PACKET,restoration_scar_match,False,False
S04_no_scar_match,candidate_no_scar,PASS_TO_REQUALIFICATION,FILTER_PASSED_TO_REQUALIFICATION,NO_SCAR_MATCH,NO_LINEAGE_PACKET,no_match_pass_to_requalification,False,False
S05_active_authority_contamination,candidate_active_contam,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,contains_active_authority,False,False
S06_bypass_permission_contamination,candidate_bypass_contam,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,contains_bypass_permission,False,False
S07_route_confidence_as_authority,candidate_route_conf_contam,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,contains_route_confidence_as_authority,False,False
S08_parent_shape_integrity_as_authority,candidate_shape_contam,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,contains_parent_shape_integrity_as_authority,False,False
S09_full_history_as_admission,candidate_full_history,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,contains_full_history_as_admission,False,False
S10_stale_evidence,candidate_stale,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,stale_packet,False,False
S11_invalid_provenance,candidate_bad_provenance,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,invalid_provenance,False,False
S12_epoch_mismatch,candidate_epoch,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,epoch_mismatch,False,False
S13_unknown_scope,candidate_unknown_scope,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,unknown_scope,False,False
S14_narrower_proven_overlap,candidate_overlap,PASS_TO_REQUALIFICATION,FILTER_PASSED_TO_REQUALIFICATION,NO_SCAR_MATCH,NO_LINEAGE_PACKET,no_match_pass_to_requalification,False,False
S15_no_lineage_packet,candidate_no_lineage,PASS_TO_REQUALIFICATION,FILTER_PASSED_TO_REQUALIFICATION,NO_SCAR_MATCH,NO_LINEAGE_PACKET,no_match_pass_to_requalification,False,False
S16_invalid_lineage_dependency,candidate_bad_lineage,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,INVALID_DEPENDENCY,invalid_lineage_dependency:invalid,False,False
S17_valid_hard_lineage_constraint,candidate_hard_lineage,REJECT_AS_IS,FILTER_REJECTED,NO_SCAR_MATCH,REJECT_AS_IS,hard_lineage_constraint,False,False
S18_valid_soft_lineage_constraint,candidate_soft_lineage,REQUIRE_EXTRA_PROOF,FILTER_EXTRA_PROOF_REQUIRED,NO_SCAR_MATCH,REQUIRE_EXTRA_PROOF,soft_lineage_constraint,False,False
S19_contamination_precedence,candidate_contam_hard_scar,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,contains_active_authority,False,False
S20_isolation_checks,candidate_isolation,REQUIRE_EXTRA_PROOF,FILTER_EXTRA_PROOF_REQUIRED,REQUIRE_EXTRA_PROOF,NO_LINEAGE_MATCH,soft_scar_match,False,False
S21_repeated_contaminated_source,candidate_repeat_contam_0,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,contains_active_authority,False,False
S21_repeated_contaminated_source,candidate_repeat_contam_1,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,contains_active_authority,False,False
S21_repeated_contaminated_source,candidate_repeat_contam_2,QUARANTINE,FILTER_QUARANTINED,NOT_EVALUATED_DUE_TO_PRECEDENCE,NOT_EVALUATED,contains_active_authority,False,False
