scenario,candidate_id,applied_constraints,rejected_constraints,decision
S01_valid_hard_scar_match,candidate_hard_scar,2fb39ea0f0724d5350959dc89a19f092420df614311b51de4ac0cce1fa496173,,REJECT_AS_IS
S02_valid_soft_scar_match,candidate_soft_scar,e9b4b9803bb1440840124a3217d6c9767f371c1ac5fee6828bdc444d960f16be,,REQUIRE_EXTRA_PROOF
S03_valid_restoration_scar_match,candidate_restoration_scar,3d0a965cb24b35d0d20869d2609af364c5029b651ca1d0b51d602b8394cca514,,REQUIRE_EXTRA_PROOF
S04_no_scar_match,candidate_no_scar,,,PASS_TO_REQUALIFICATION
S05_active_authority_contamination,candidate_active_contam,,contains_active_authority,QUARANTINE
S06_bypass_permission_contamination,candidate_bypass_contam,,contains_bypass_permission,QUARANTINE
S07_route_confidence_as_authority,candidate_route_conf_contam,,contains_route_confidence_as_authority,QUARANTINE
S08_parent_shape_integrity_as_authority,candidate_shape_contam,,contains_parent_shape_integrity_as_authority,QUARANTINE
S09_full_history_as_admission,candidate_full_history,,contains_full_history_as_admission,QUARANTINE
S10_stale_evidence,candidate_stale,,stale_packet,QUARANTINE
S11_invalid_provenance,candidate_bad_provenance,,invalid_provenance,QUARANTINE
S12_epoch_mismatch,candidate_epoch,,epoch_mismatch,QUARANTINE
S13_unknown_scope,candidate_unknown_scope,,unknown_scope,QUARANTINE
S14_narrower_proven_overlap,candidate_overlap,constraint_region_A_only,,PASS_TO_REQUALIFICATION
S15_no_lineage_packet,candidate_no_lineage,,,PASS_TO_REQUALIFICATION
S16_invalid_lineage_dependency,candidate_bad_lineage,,invalid_lineage_dependency:invalid,QUARANTINE
S17_valid_hard_lineage_constraint,candidate_hard_lineage,66b04e6bf4fc63e58b4b24f42b7205faa1a9109315270fef4a5f7616379c40f1,,REJECT_AS_IS
S18_valid_soft_lineage_constraint,candidate_soft_lineage,3f76484977ddf8e006792764b661af83b9abf06a1ed06ec2ea5fc8215d428ef3,,REQUIRE_EXTRA_PROOF
S19_contamination_precedence,candidate_contam_hard_scar,,contains_active_authority,QUARANTINE
S20_isolation_checks,candidate_isolation,980e5d0e286601d9ceefe0ab03116297da3ea759adbdc0ca7e6fce22bebbc762,,REQUIRE_EXTRA_PROOF
S21_repeated_contaminated_source,candidate_repeat_contam_0,,contains_active_authority,QUARANTINE
S21_repeated_contaminated_source,candidate_repeat_contam_1,,contains_active_authority,QUARANTINE
S21_repeated_contaminated_source,candidate_repeat_contam_2,,contains_active_authority,QUARANTINE
