scenario,event_type,decision,details
S01_valid_hard_scar_match,prospective_filter,REJECT_AS_IS,hard_scar_match
S02_valid_soft_scar_match,prospective_filter,REQUIRE_EXTRA_PROOF,soft_scar_match
S03_valid_restoration_scar_match,prospective_filter,REQUIRE_EXTRA_PROOF,restoration_scar_match
S04_no_scar_match,prospective_filter,PASS_TO_REQUALIFICATION,no_match_pass_to_requalification
S05_active_authority_contamination,prospective_filter,QUARANTINE,contains_active_authority
S06_bypass_permission_contamination,prospective_filter,QUARANTINE,contains_bypass_permission
S07_route_confidence_as_authority,prospective_filter,QUARANTINE,contains_route_confidence_as_authority
S08_parent_shape_integrity_as_authority,prospective_filter,QUARANTINE,contains_parent_shape_integrity_as_authority
S09_full_history_as_admission,prospective_filter,QUARANTINE,contains_full_history_as_admission
S10_stale_evidence,prospective_filter,QUARANTINE,stale_packet
S11_invalid_provenance,prospective_filter,QUARANTINE,invalid_provenance
S12_epoch_mismatch,prospective_filter,QUARANTINE,epoch_mismatch
S13_unknown_scope,prospective_filter,QUARANTINE,unknown_scope
S14_narrower_proven_overlap,prospective_filter,PASS_TO_REQUALIFICATION,no_match_pass_to_requalification
S15_no_lineage_packet,prospective_filter,PASS_TO_REQUALIFICATION,no_match_pass_to_requalification
S16_invalid_lineage_dependency,prospective_filter,QUARANTINE,invalid_lineage_dependency:invalid
S17_valid_hard_lineage_constraint,prospective_filter,REJECT_AS_IS,hard_lineage_constraint
S18_valid_soft_lineage_constraint,prospective_filter,REQUIRE_EXTRA_PROOF,soft_lineage_constraint
S19_contamination_precedence,prospective_filter,QUARANTINE,contains_active_authority
S20_isolation_checks,prospective_filter,REQUIRE_EXTRA_PROOF,soft_scar_match
S21_repeated_contaminated_source,prospective_filter,QUARANTINE,contains_active_authority
S21_repeated_contaminated_source,prospective_filter,QUARANTINE,contains_active_authority
S21_repeated_contaminated_source,prospective_filter,QUARANTINE,contains_active_authority
